#,Date searched,Terms,Search engine,Title,Year published,Country of study,Continent,Lat,Lon,Language if not English,Microscopy,PCR,Mouse bioassay,Number of felids/samples,Positive felid/samples,% shedding (or reshedding),Genotypes,Strain,Length of study/sampling (months),Relevant,Topic if relevant,Notes,Link
57,2/16,toxoplasma AND cat AND shedding,Pubmed,Cross-sectional survey of Toxoplasma gondii infection in colony cats from urban Florence (Italy),2010,Italy,Europe,43.8443894,10.6716191,,N,Y,N,50,8,16.00,,,,Y,Domestic-FR,serologically negative cats likely to shed?,https://journals.sagepub.com/doi/full/10.1016/j.jfms.2009.09.001?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dpubmed&
592,3/8,"toxoplasma, felid, species",Pubmed,Prevalence of faecal-borne parasites in colony stray cats in northern Italy,2013,Italy,Europe,45.4627124,9.1076926,,Y,N,N,139,0,0,,,24,Y,Domestic-FR,,https://journals.sagepub.com/doi/full/10.1177/1098612X12473467
999,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Small type of Isospora bigemina: isolation from naturally infected cats and relations with toxoplasma oocyst,1974,Japan,Asia,35.9155376,139.5788495,,Y,N,N,446,4,0.90,,,,Y,Domestic-FR,,https://www.cabdirect.org/cabdirect/abstract/19752900955
1056,3/31,,Reference search,Survey on Toxoplasma infection in stray cats in western area of Japan during a two-year period,1990,Japan,Asia,42.9310161,143.6390529,,Y,N,Y,335,1,0.2985074627,,,24,Y,Domestic-FR,,https://www.cabdirect.org/cabdirect/abstract/19920878585
278,2/24,"toxoplasma, felid, genotype",Pubmed,"Toxoplasma gondii B1 Gene Detection in Feces of Stray Cats around Seoul, Korea and Genotype Analysis of Two Laboratory-Passaged Isolates",2015,Korea,Asia,37.5650172,126.8494659,,N,Y,Y,300,14,4.67,II,"KNIH-1, KNIH-2",3,Y,Domestic-FR,methodology for detecting oocysts not familiar,https://www.ncbi.nlm.nih.gov/pubmed/26174818
1064,3/31,,Liz,Excretion of Toxoplasma gondii oocysts from Feral Cats in Korea,2019,Korea,Asia,35.1766798,126.77376,,Y,Y,N,563,5,0.8880994671,,,36,Y,Domestic-FR,,http://parasitol.kr/upload/pdf/kjp-57-6-665.pdf
603,3/8,"toxoplasma, felid, species",Pubmed,Enteric protozoan parasites in stray cats in Kuwait with special references to toxoplasmosis and risk factors affecting its occurrence,2013,Kuwait,Asia,29.3760641,47.9643571,,Y,N,N,240,5,2.083333333,,,,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pubmed/24260809
67,2/16,toxoplasma AND cat AND shedding,Pubmed,"Toxoplasma gondii infection of cats in Beirut, Lebanon",1985,Lebanon,Asia,33.8892171,35.4867727,,Y,N,N,313,31,9.90,,,35,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pubmed/3915329
12,2/16,toxoplasma AND cat AND shedding,Pubmed,Study of prevalence of Toxoplasma gondii oocysts in the cats of Nouakchott,2017,Mauritania,Africa,18.0671579,-16.0236013,French,Y,N,N,100,23,23.00,,,,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pubmed/29052122
1071,4/6,,Reference search,"Situación de losooquistes de Toxoplasma gondii en heces de gatos del Distrito Federal, México",1990,Mexico,North America,19.3202829,-99.4328055,Spanish,Y,N,N,200,0,0,,,,Y,Domestic-FR,,
1057,3/31,,Reference search,Estudio sobre la frecuencia del ooquiste de Toxoplasma gondii en el gato domestico del distrito federal,1997,Mexico,North America,19.3202829,-99.4328055,Spanish,Y,N,Y,200,14,7,,,,Y,Domestic-FR,,
1054,3/31,,Reference search,Infections with helminths and/or protozoa in cats in animal shelters in the Netherlands,2004,Netherlands,Europe,52.0901527,5.1204078,,Y,N,N,305,1,0.3278688525,,,,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pubmed/14737808
1070,4/6,,Reference search,An investigation of the potential for spread of Sarcocystis spp. and other parasites by feral cats,1990,New Zealand,Australia,-39.697284,176.849134,,Y,N,N,63,0,0,,,,Y,Domestic-FR,,https://www.tandfonline.com/doi/abs/10.1080/00288233.1990.10428439
528,3/8,"toxoplasma, felid, species",Pubmed,"Transmission of Toxoplasma gondii in Panama City, Panama: a five-year prospective cohort study of children, cats, rodents, birds, and soil",1995,Panama,North America,8.991028,-79.520182,,Y,N,Y,383,2,0.52,,,60,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pubmed/7485703
948,3/10,"toxoplasma, felid, oocyst, feces",Pubmed,Prevalence of Toxoplasma gondii infection in cats in southwestern Poland,2018,Poland,Europe,50.259222,18.598509,,Y,Y,N,41,1,2.44,,,,Y,Domestic-FR,,"http://www.aaem.pl/Prevalence-of-Toxoplasma-gondii-infection-in-cats-from-southwestern-region-of-Poland,94675,0,2.html"
968,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,"Feline patent Toxoplasma-like coccidiosis among feral cats (Felis catus) in Doha city, Qatar and its immediate surroundings",2014,Qatar,Asia,25.2871173,51.5402375,,Y,N,N,4652,425,9.14,,,22,Y,Domestic-FR,t gondii like,https://www.ncbi.nlm.nih.gov/pubmed/25119351
382,2/28,"toxoplasma, felid, genotype",Pubmed,"Isolation and characterization of viable Toxoplasma gondii isolates revealed possible high frequency of mixed infection in feral cats ( Felis domesticus) from St Kitts, West Indies",2009,Saint Kitts,North America,17.315409,-62.8130072,,Y,N,Y,51,0,0.00,,,24,Y,Domestic-FR,no shedding,https://www.cambridge.org/core/journals/parasitology/article/isolation-and-characterization-of-viable-toxoplasma-gondii-isolates-revealed-possible-high-frequency-of-mixed-infection-in-feral-cats-felis-domesticus-from-st-kitts-west-indies/72B79375609FEFC9BC2EA97B3981B09C
